Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110624/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,8.94
Liftedindex,11.63
LIFTcomputedusingvirtualtemperature,11.52
SWEATindex,84.21
Kindex,-13.10
Crosstotalsindex,17.30
Verticaltotalsindex,20.30
Totalstotalsindex,37.60
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,277.14
Pres[hPa]oftheLiftedCondensationLevel,882.26
Meanmixedlayerpotentialtemperature,287.26
Meanmixedlayermixingratio,5.84
1000hPato500hPathickness,5567.00
Precipitablewater[mm]forentiresounding,14.69
