Stationidentifier,YBBN
Stationnumber,94578
Observationtime,150915/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,10.34
Liftedindex,5.70
LIFTcomputedusingvirtualtemperature,5.41
SWEATindex,84.78
Kindex,-11.50
Crosstotalsindex,14.30
Verticaltotalsindex,19.10
Totalstotalsindex,33.40
ConvectiveAvailablePotentialEnergy,57.84
CAPEusingvirtualtemperature,80.61
ConvectiveInhibition,-6.10
CINSusingvirtualtemperature,-2.48
EquilibrumLevel,757.38
EquilibrumLevelusingvirtualtemperature,751.96
LevelofFreeConvection,893.56
LFCTusingvirtualtemperature,915.07
BulkRichardsonNumber,9.92
BulkRichardsonNumberusingCAPV,13.83
Temp[K]oftheLiftedCondensationLevel,285.10
Pres[hPa]oftheLiftedCondensationLevel,918.46
Meanmixedlayerpotentialtemperature,292.12
Meanmixedlayermixingratio,9.66
1000hPato500hPathickness,5614.00
Precipitablewater[mm]forentiresounding,20.29
