Stationidentifier,YBBN
Stationnumber,94578
Observationtime,151229/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.07
Liftedindex,3.03
LIFTcomputedusingvirtualtemperature,2.73
SWEATindex,125.58
Kindex,-17.90
Crosstotalsindex,16.30
Verticaltotalsindex,23.30
Totalstotalsindex,39.60
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,283.06
Pres[hPa]oftheLiftedCondensationLevel,873.50
Meanmixedlayerpotentialtemperature,294.22
Meanmixedlayermixingratio,8.86
1000hPato500hPathickness,5637.00
Precipitablewater[mm]forentiresounding,19.65
