Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130412/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.84
Liftedindex,3.28
LIFTcomputedusingvirtualtemperature,3.09
SWEATindex,130.99
Kindex,25.50
Crosstotalsindex,16.70
Verticaltotalsindex,19.30
Totalstotalsindex,36.00
ConvectiveAvailablePotentialEnergy,94.85
CAPEusingvirtualtemperature,129.58
ConvectiveInhibition,-9.79
CINSusingvirtualtemperature,-6.96
EquilibrumLevel,547.46
EquilibrumLevelusingvirtualtemperature,542.24
LevelofFreeConvection,905.80
LFCTusingvirtualtemperature,914.72
BulkRichardsonNumber,7.86
BulkRichardsonNumberusingCAPV,10.73
Temp[K]oftheLiftedCondensationLevel,288.21
Pres[hPa]oftheLiftedCondensationLevel,939.43
Meanmixedlayerpotentialtemperature,293.41
Meanmixedlayermixingratio,11.60
1000hPato500hPathickness,5630.00
Precipitablewater[mm]forentiresounding,34.44
