Stationidentifier,YBBN
Stationnumber,94578
Observationtime,151202/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,0.50
Liftedindex,-2.44
LIFTcomputedusingvirtualtemperature,-2.71
SWEATindex,188.60
Kindex,31.60
Crosstotalsindex,21.80
Verticaltotalsindex,22.90
Totalstotalsindex,44.70
ConvectiveAvailablePotentialEnergy,914.31
CAPEusingvirtualtemperature,1028.82
ConvectiveInhibition,-10.64
CINSusingvirtualtemperature,-6.07
EquilibrumLevel,187.39
EquilibrumLevelusingvirtualtemperature,187.37
LevelofFreeConvection,900.28
LFCTusingvirtualtemperature,912.03
BulkRichardsonNumber,79.78
BulkRichardsonNumberusingCAPV,89.77
Temp[K]oftheLiftedCondensationLevel,292.57
Pres[hPa]oftheLiftedCondensationLevel,942.69
Meanmixedlayerpotentialtemperature,297.55
Meanmixedlayermixingratio,15.32
1000hPato500hPathickness,5699.00
Precipitablewater[mm]forentiresounding,47.27
