Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130722/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.88
Liftedindex,12.33
LIFTcomputedusingvirtualtemperature,12.55
SWEATindex,178.19
Kindex,25.20
Crosstotalsindex,19.20
Verticaltotalsindex,20.90
Totalstotalsindex,40.10
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,277.55
Pres[hPa]oftheLiftedCondensationLevel,866.08
Meanmixedlayerpotentialtemperature,289.21
Meanmixedlayermixingratio,6.17
1000hPato500hPathickness,5611.00
Precipitablewater[mm]forentiresounding,31.30
