Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100924/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,9.60
Liftedindex,1.64
LIFTcomputedusingvirtualtemperature,1.42
SWEATindex,69.00
Kindex,19.00
Crosstotalsindex,10.10
Verticaltotalsindex,25.10
Totalstotalsindex,35.20
ConvectiveAvailablePotentialEnergy,3.21
CAPEusingvirtualtemperature,5.57
ConvectiveInhibition,-73.56
CINSusingvirtualtemperature,-47.20
EquilibrumLevel,663.97
EquilibrumLevelusingvirtualtemperature,660.12
LevelofFreeConvection,708.65
LFCTusingvirtualtemperature,716.20
BulkRichardsonNumber,0.05
BulkRichardsonNumberusingCAPV,0.09
Temp[K]oftheLiftedCondensationLevel,285.07
Pres[hPa]oftheLiftedCondensationLevel,911.64
Meanmixedlayerpotentialtemperature,292.72
Meanmixedlayermixingratio,9.72
1000hPato500hPathickness,5600.00
Precipitablewater[mm]forentiresounding,28.48
