Stationidentifier,YBBN
Stationnumber,94578
Observationtime,101229/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.94
Liftedindex,7.90
LIFTcomputedusingvirtualtemperature,7.68
SWEATindex,196.59
Kindex,29.00
Crosstotalsindex,17.20
Verticaltotalsindex,17.70
Totalstotalsindex,34.90
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,286.73
Pres[hPa]oftheLiftedCondensationLevel,902.33
Meanmixedlayerpotentialtemperature,295.29
Meanmixedlayermixingratio,10.96
1000hPato500hPathickness,5745.00
Precipitablewater[mm]forentiresounding,49.15
