Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160822/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.58
Liftedindex,3.48
LIFTcomputedusingvirtualtemperature,3.38
SWEATindex,111.81
Kindex,25.00
Crosstotalsindex,20.60
Verticaltotalsindex,23.70
Totalstotalsindex,44.30
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,283.58
Pres[hPa]oftheLiftedCondensationLevel,919.90
Meanmixedlayerpotentialtemperature,290.44
Meanmixedlayermixingratio,8.70
1000hPato500hPathickness,5555.00
Precipitablewater[mm]forentiresounding,27.05
