Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130520/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,15.50
Liftedindex,13.40
LIFTcomputedusingvirtualtemperature,13.30
SWEATindex,64.01
Kindex,-24.90
Crosstotalsindex,-11.50
Verticaltotalsindex,24.50
Totalstotalsindex,13.00
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,273.06
Pres[hPa]oftheLiftedCondensationLevel,833.31
Meanmixedlayerpotentialtemperature,287.68
Meanmixedlayermixingratio,4.61
1000hPato500hPathickness,5567.00
Precipitablewater[mm]forentiresounding,9.26
