Stationidentifier,YBBN
Stationnumber,94578
Observationtime,101007/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.24
Liftedindex,1.29
LIFTcomputedusingvirtualtemperature,0.98
SWEATindex,133.66
Kindex,-4.10
Crosstotalsindex,18.30
Verticaltotalsindex,25.30
Totalstotalsindex,43.60
ConvectiveAvailablePotentialEnergy,35.10
CAPEusingvirtualtemperature,46.12
ConvectiveInhibition,-114.15
CINSusingvirtualtemperature,-98.09
EquilibrumLevel,709.16
EquilibrumLevelusingvirtualtemperature,706.05
LevelofFreeConvection,779.12
LFCTusingvirtualtemperature,787.28
BulkRichardsonNumber,1.18
BulkRichardsonNumberusingCAPV,1.55
Temp[K]oftheLiftedCondensationLevel,287.79
Pres[hPa]oftheLiftedCondensationLevel,915.23
Meanmixedlayerpotentialtemperature,295.18
Meanmixedlayermixingratio,11.59
1000hPato500hPathickness,5677.00
Precipitablewater[mm]forentiresounding,31.19
