Stationidentifier,YBBN
Stationnumber,94578
Observationtime,150804/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,2.59
Liftedindex,6.44
LIFTcomputedusingvirtualtemperature,6.31
SWEATindex,117.99
Kindex,22.00
Crosstotalsindex,23.60
Verticaltotalsindex,25.50
Totalstotalsindex,49.10
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,276.46
Pres[hPa]oftheLiftedCondensationLevel,859.64
Meanmixedlayerpotentialtemperature,288.69
Meanmixedlayermixingratio,5.73
1000hPato500hPathickness,5505.00
Precipitablewater[mm]forentiresounding,19.45
