Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100905/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,1.27
Liftedindex,-0.19
LIFTcomputedusingvirtualtemperature,-0.27
SWEATindex,231.60
Kindex,33.60
Crosstotalsindex,21.10
Verticaltotalsindex,24.30
Totalstotalsindex,45.40
ConvectiveAvailablePotentialEnergy,77.68
CAPEusingvirtualtemperature,97.85
ConvectiveInhibition,-2.54
CINSusingvirtualtemperature,-2.05
EquilibrumLevel,483.00
EquilibrumLevelusingvirtualtemperature,482.71
LevelofFreeConvection,926.30
LFCTusingvirtualtemperature,928.68
BulkRichardsonNumber,1.62
BulkRichardsonNumberusingCAPV,2.04
Temp[K]oftheLiftedCondensationLevel,291.10
Pres[hPa]oftheLiftedCondensationLevel,968.20
Meanmixedlayerpotentialtemperature,293.82
Meanmixedlayermixingratio,13.56
1000hPato500hPathickness,5672.00
Precipitablewater[mm]forentiresounding,45.00
