Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160111/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,9.96
Liftedindex,5.23
LIFTcomputedusingvirtualtemperature,4.78
SWEATindex,68.60
Kindex,-7.70
Crosstotalsindex,9.50
Verticaltotalsindex,22.50
Totalstotalsindex,32.00
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,286.46
Pres[hPa]oftheLiftedCondensationLevel,883.99
Meanmixedlayerpotentialtemperature,296.75
Meanmixedlayermixingratio,11.00
1000hPato500hPathickness,5718.00
Precipitablewater[mm]forentiresounding,23.85
