Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110611/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.59
Liftedindex,11.30
LIFTcomputedusingvirtualtemperature,11.47
SWEATindex,104.21
Kindex,-14.10
Crosstotalsindex,19.90
Verticaltotalsindex,21.30
Totalstotalsindex,41.20
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,276.29
Pres[hPa]oftheLiftedCondensationLevel,869.68
Meanmixedlayerpotentialtemperature,287.55
Meanmixedlayermixingratio,5.56
1000hPato500hPathickness,5526.00
Precipitablewater[mm]forentiresounding,18.63
