Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120321/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.85
Liftedindex,5.42
LIFTcomputedusingvirtualtemperature,5.05
SWEATindex,182.79
Kindex,0.10
Crosstotalsindex,16.30
Verticaltotalsindex,16.70
Totalstotalsindex,33.00
ConvectiveAvailablePotentialEnergy,19.33
CAPEusingvirtualtemperature,27.13
ConvectiveInhibition,-6.60
CINSusingvirtualtemperature,-4.46
EquilibrumLevel,801.92
EquilibrumLevelusingvirtualtemperature,799.19
LevelofFreeConvection,900.24
LFCTusingvirtualtemperature,906.67
BulkRichardsonNumber,1.36
BulkRichardsonNumberusingCAPV,1.91
Temp[K]oftheLiftedCondensationLevel,289.80
Pres[hPa]oftheLiftedCondensationLevel,923.80
Meanmixedlayerpotentialtemperature,296.45
Meanmixedlayermixingratio,13.09
1000hPato500hPathickness,5728.00
Precipitablewater[mm]forentiresounding,36.23
