Stationidentifier,YBBN
Stationnumber,94578
Observationtime,151125/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,1.56
Liftedindex,0.30
LIFTcomputedusingvirtualtemperature,-0.34
SWEATindex,176.40
Kindex,0.30
Crosstotalsindex,19.10
Verticaltotalsindex,25.10
Totalstotalsindex,44.20
ConvectiveAvailablePotentialEnergy,69.85
CAPEusingvirtualtemperature,148.94
ConvectiveInhibition,-223.49
CINSusingvirtualtemperature,-6.21
EquilibrumLevel,333.84
EquilibrumLevelusingvirtualtemperature,305.02
LevelofFreeConvection,440.42
LFCTusingvirtualtemperature,891.98
BulkRichardsonNumber,6.29
BulkRichardsonNumberusingCAPV,13.41
Temp[K]oftheLiftedCondensationLevel,290.45
Pres[hPa]oftheLiftedCondensationLevel,922.80
Meanmixedlayerpotentialtemperature,297.21
Meanmixedlayermixingratio,13.68
1000hPato500hPathickness,5719.00
Precipitablewater[mm]forentiresounding,26.98
