Stationidentifier,YBBN
Stationnumber,94578
Observationtime,150112/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,2.59
Liftedindex,0.26
LIFTcomputedusingvirtualtemperature,0.06
SWEATindex,218.00
Kindex,34.20
Crosstotalsindex,19.10
Verticaltotalsindex,20.70
Totalstotalsindex,39.80
ConvectiveAvailablePotentialEnergy,99.99
CAPEusingvirtualtemperature,134.28
ConvectiveInhibition,-20.98
CINSusingvirtualtemperature,-12.26
EquilibrumLevel,456.73
EquilibrumLevelusingvirtualtemperature,456.12
LevelofFreeConvection,870.56
LFCTusingvirtualtemperature,886.46
BulkRichardsonNumber,7.65
BulkRichardsonNumberusingCAPV,10.28
Temp[K]oftheLiftedCondensationLevel,292.90
Pres[hPa]oftheLiftedCondensationLevel,940.17
Meanmixedlayerpotentialtemperature,298.13
Meanmixedlayermixingratio,15.70
1000hPato500hPathickness,5753.00
Precipitablewater[mm]forentiresounding,52.92
