Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140527/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,9.79
Liftedindex,4.77
LIFTcomputedusingvirtualtemperature,4.41
SWEATindex,65.61
Kindex,0.70
Crosstotalsindex,12.90
Verticaltotalsindex,20.90
Totalstotalsindex,33.80
ConvectiveAvailablePotentialEnergy,0.02
CAPEusingvirtualtemperature,4.82
ConvectiveInhibition,-55.81
CINSusingvirtualtemperature,-38.71
EquilibrumLevel,782.79
EquilibrumLevelusingvirtualtemperature,774.36
LevelofFreeConvection,791.37
LFCTusingvirtualtemperature,813.50
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.20
Temp[K]oftheLiftedCondensationLevel,286.97
Pres[hPa]oftheLiftedCondensationLevel,937.19
Meanmixedlayerpotentialtemperature,292.35
Meanmixedlayermixingratio,10.72
1000hPato500hPathickness,5660.00
Precipitablewater[mm]forentiresounding,23.90
