Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110516/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,0.85
Liftedindex,2.53
LIFTcomputedusingvirtualtemperature,2.38
SWEATindex,158.00
Kindex,0.60
Crosstotalsindex,24.80
Verticaltotalsindex,28.10
Totalstotalsindex,52.90
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,279.42
Pres[hPa]oftheLiftedCondensationLevel,894.70
Meanmixedlayerpotentialtemperature,288.46
Meanmixedlayermixingratio,6.74
1000hPato500hPathickness,5513.00
Precipitablewater[mm]forentiresounding,18.15
