PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1023.0,5,16.0,10.0,68,7.59,190,6,287.3,308.7,288.6
1016.0,63,15.0,10.0,72,7.64,179,7,286.9,308.4,288.2
1003.0,173,13.8,10.0,78,7.74,160,9,286.7,308.5,288.0
1000.0,198,14.2,10.7,79,8.14,155,10,287.4,310.3,288.8
998.0,215,14.2,10.5,78,8.05,153,10,287.5,310.2,288.9
972.0,437,13.0,10.0,82,7.99,130,9,288.5,311.1,289.9
968.0,472,13.4,9.5,77,7.75,126,9,289.2,311.3,290.6
925.0,852,10.2,7.8,85,7.22,85,8,289.7,310.4,291.0
902.0,1062,8.6,7.6,93,7.31,86,9,290.2,311.1,291.5
850.0,1552,5.8,5.4,97,6.66,90,10,292.2,311.5,293.4
799.0,2057,3.0,1.8,92,5.48,47,8,294.4,310.6,295.4
792.0,2128,5.6,-27.4,7,0.51,41,7,297.9,299.7,298.1
782.0,2232,7.6,-26.4,7,0.57,32,7,301.2,303.1,301.3
755.0,2521,6.6,-27.4,7,0.54,8,6,303.1,305.0,303.2
706.0,3066,2.4,-28.6,8,0.51,321,3,304.4,306.2,304.5
700.0,3135,2.4,-30.6,7,0.43,315,3,305.1,306.6,305.2
699.0,3147,2.4,-29.6,7,0.47,315,3,305.2,306.9,305.3
683.0,3333,1.0,-31.0,7,0.42,311,6,305.7,307.2,305.8
668.0,3512,1.4,-47.6,1,0.08,308,9,308.1,308.4,308.1
628.0,4007,-0.9,-35.9,5,0.29,299,17,310.9,312.0,311.0
583.0,4595,-5.7,-32.7,10,0.42,288,26,312.0,313.6,312.1
531.0,5320,-11.1,-37.1,10,0.30,274,38,314.0,315.1,314.1
500.0,5780,-13.5,-49.5,3,0.08,265,46,316.5,316.9,316.5
480.0,6089,-15.1,-40.1,10,0.24,264,52,318.3,319.2,318.3
461.0,6393,-17.1,-42.1,9,0.21,263,58,319.5,320.3,319.5
454.0,6507,-18.3,-28.3,41,0.82,263,60,319.4,322.3,319.5
431.0,6892,-21.9,-28.9,53,0.82,262,68,319.6,322.5,319.7
425.0,6995,-22.3,-33.3,36,0.55,261,70,320.3,322.4,320.4
418.0,7117,-21.7,-46.7,9,0.14,261,72,322.6,323.2,322.6
409.0,7277,-22.3,-53.3,4,0.07,261,76,323.9,324.1,323.9
401.0,7422,-21.7,-57.7,2,0.04,260,79,326.5,326.6,326.5
400.0,7440,-21.9,-58.9,2,0.03,260,79,326.4,326.6,326.4
376.0,7895,-23.5,-53.5,5,0.07,259,85,330.1,330.4,330.2
361.0,8193,-23.7,-57.7,3,0.04,258,90,333.7,333.9,333.8
308.0,9334,-32.9,-51.9,13,0.10,255,106,336.4,336.8,336.4
303.0,9450,-32.7,-55.7,8,0.07,255,108,338.2,338.5,338.2
300.0,9520,-33.1,-56.1,8,0.06,255,109,338.6,338.9,338.6
289.0,9780,-35.1,-59.1,7,0.05,255,109,339.4,339.6,339.4
280.0,9999,-36.1,-62.1,5,0.03,255,110,341.0,341.2,341.0
250.0,10770,-42.3,-66.3,6,0.02,255,111,343.0,343.1,343.1
249.0,10797,-42.7,-66.7,5,0.02,255,111,342.8,342.9,342.8
209.0,11970,-48.9,-74.9,3,0.01,259,102,350.7,350.8,350.7
200.0,12260,-50.9,-77.9,3,0.00,260,100,352.0,352.0,352.0
164.0,13520,-59.9,-81.9,4,0.00,250,92,357.4,357.5,357.4
153.0,13949,-62.9,,,,246,89,359.5,,359.5
150.0,14070,-62.9,,,,245,88,361.5,,361.5
113.0,15780,-72.5,,,,255,57,374.1,,374.1
100.0,16500,-72.9,,,,260,39,386.6,,386.6
94.0,16861,-73.7,,,,265,36,391.9,,391.9
90.0,17115,-74.3,,,,280,49,395.7,,395.7
89.9,17122,-74.3,,,,279,49,395.8,,395.8
86.0,17382,-73.7,,,,245,42,402.0,,402.0
80.0,17806,-72.8,,,,260,33,412.2,,412.2
76.0,18107,-72.2,,,,245,32,419.7,,419.7
71.0,18506,-71.3,,,,262,26,429.8,,429.8
70.0,18590,-68.9,,,,265,25,436.6,,436.6
67.0,18853,-65.7,,,,220,15,449.1,,449.1
65.0,19036,-67.2,,,,260,12,449.8,,449.8
64.8,19055,-67.3,,,,258,12,449.9,,449.9
62.0,19323,-66.0,,,,235,10,458.6,,458.6
60.0,19522,-65.0,,,,265,11,465.1,,465.1
59.0,19624,-64.5,,,,235,11,468.5,,468.5
57.0,19834,-63.4,,,,165,11,475.5,,475.5
55.7,19974,-62.7,,,,162,10,480.3,,480.3
55.0,20052,-62.5,,,,160,9,482.4,,482.4
54.0,20165,-62.2,,,,175,10,485.6,,485.6
50.0,20640,-61.1,,,,100,2,499.1,,499.1
48.0,20895,-60.8,,,,0,0,505.6,,505.6
46.0,21161,-60.6,,,,140,10,512.4,,512.4
45.0,21298,-60.4,,,,140,16,516.0,,516.0
43.0,21582,-60.1,,,,130,3,523.4,,523.4
42.8,21611,-60.1,,,,132,4,524.2,,524.2
41.0,21882,-58.7,,,,150,10,534.2,,534.2
40.0,22038,-57.9,,,,150,22,540.0,,540.0
39.0,22198,-57.1,,,,130,16,546.0,,546.0
38.1,22346,-56.3,,,,76,11,551.6,,551.6
38.0,22362,-56.4,,,,70,10,551.8,,551.8
37.0,22531,-57.1,,,,5,7,554.1,,554.1
36.0,22705,-57.9,,,,316,8,556.5,,556.5
34.0,23067,-57.7,,,,215,10,566.1,,566.1
33.0,23256,-57.6,,,,220,10,571.2,,571.2
32.0,23451,-57.5,,,,190,12,576.5,,576.5
31.0,23652,-57.4,,,,200,10,582.1,,582.1
30.0,23860,-57.3,,,,180,10,587.8,,587.8
26.2,24720,-54.1,,,,331,1,620.1,,620.1
26.0,24769,-54.2,,,,340,1,621.2,,621.2
21.9,25862,-56.5,,,,327,8,645.5,,645.5
20.0,26440,-53.5,,,,320,11,671.7,,671.7
19.8,26505,-53.3,,,,309,10,674.2,,674.2
19.0,26771,-52.9,,,,265,5,683.5,,683.5
18.0,27119,-52.3,,,,,,696.0,,696.0
