Stationidentifier,YBBN
Stationnumber,94578
Observationtime,111119/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,8.64
Liftedindex,1.50
LIFTcomputedusingvirtualtemperature,1.19
SWEATindex,42.00
Kindex,4.30
Crosstotalsindex,8.70
Verticaltotalsindex,26.70
Totalstotalsindex,35.40
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,286.63
Pres[hPa]oftheLiftedCondensationLevel,897.42
Meanmixedlayerpotentialtemperature,295.65
Meanmixedlayermixingratio,10.95
1000hPato500hPathickness,5684.00
Precipitablewater[mm]forentiresounding,23.14
