Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110903/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,8.74
Liftedindex,8.25
LIFTcomputedusingvirtualtemperature,8.12
SWEATindex,67.60
Kindex,-21.80
Crosstotalsindex,18.40
Verticaltotalsindex,20.90
Totalstotalsindex,39.30
ConvectiveAvailablePotentialEnergy,0.42
CAPEusingvirtualtemperature,1.09
ConvectiveInhibition,-40.39
CINSusingvirtualtemperature,-34.50
EquilibrumLevel,809.86
EquilibrumLevelusingvirtualtemperature,808.61
LevelofFreeConvection,824.70
LFCTusingvirtualtemperature,826.90
BulkRichardsonNumber,0.93
BulkRichardsonNumberusingCAPV,2.40
Temp[K]oftheLiftedCondensationLevel,276.98
Pres[hPa]oftheLiftedCondensationLevel,866.80
Meanmixedlayerpotentialtemperature,288.54
Meanmixedlayermixingratio,5.87
1000hPato500hPathickness,5516.00
Precipitablewater[mm]forentiresounding,12.25
