"","X","Stationidentifier","Stationnumber","Observationtime","Stationlatitude","Stationlongitude","Stationelevation","Showalterindex","Liftedindex","LIFTcomputedusingvirtualtemperature","SWEATindex","Kindex","Crosstotalsindex","Verticaltotalsindex","Totalstotalsindex","ConvectiveAvailablePotentialEnergy","CAPEusingvirtualtemperature","ConvectiveInhibition","CINSusingvirtualtemperature","EquilibrumLevel","EquilibrumLevelusingvirtualtemperature","LevelofFreeConvection","LFCTusingvirtualtemperature","BulkRichardsonNumber","BulkRichardsonNumberusingCAPV","Temp.K.oftheLiftedCondensationLevel","Pres.hPa.oftheLiftedCondensationLevel","Meanmixedlayerpotentialtemperature","Meanmixedlayermixingratio","X1000hPato500hPathickness","Precipitablewater.mm.forentiresounding","TS"
"736",1,"YBBN",94578,"131110/0000",-27.38,153.13,5,3.44,-1.06,-1.29,58.39,20.9,14.5,30.5,45,88.66,117.98,-353.84,-276.87,363.74,361.67,596.14,640.28,4.28,5.69,285.59,866.29,297.56,10.6,5684,27.81,1
"737",1,"YBBN",94578,"131111/0000",-27.38,153.13,5,4.65,-1.33,-1.53,76.21,25.6,15.5,27.5,43,147.55,198.19,-152.36,-106.87,308.91,308.74,685.04,706.2,9.25,12.42,287.81,909.72,295.71,11.68,5662,32.39,0
"738",1,"YBBN",94578,"131112/0000",-27.38,153.13,5,5.42,-0.54,-0.64,114.22,25.9,15.7,25.7,41.4,27,41.15,-121.41,-82.03,378.92,378.49,706.61,716.31,2.8,4.26,288.37,922.67,295.1,12.26,5665,35.35,1
"739",1,"YBBN",94578,"131113/0000",-27.38,153.13,5,4.36,0.5,-0.01,156.6,25.5,17.7,23.7,41.4,128.54,205.93,-74.99,-41.04,280.29,279.69,701.91,714.01,8.3,13.3,287.69,890.08,297.44,11.85,5671,33.52,1
"740",1,"YBBN",94578,"131114/0000",-27.38,153.13,5,0.51,-2.92,-3.22,151.79,32.9,21.3,27.3,48.6,659.34,746.94,-68.76,-46.39,268.53,268.06,790.84,806.45,263.82,298.88,289.4,924.01,296.02,12.75,5646,36.35,1
"741",1,"YBBN",94578,"131115/0000",-27.38,153.13,5,-0.8,-2.34,-2.8,184.4,23.9,22.7,28.7,51.4,494.92,603.47,-147.85,-105.48,312.46,311.54,726.21,749.31,18.86,22.99,287.21,904.3,295.6,11.33,5641,24.13,1
"742",1,"YBBN",94578,"131116/0000",-27.38,153.13,5,-6.86,-5.62,-6.04,420.19,31,29.8,29.9,59.7,935.36,1045.27,-39.89,-38.39,240.82,240.68,805.65,806.94,17.3,19.34,288.04,907.99,296.11,11.9,5633,33.57,0
"743",1,"YBBN",94578,"131117/0000",-27.38,153.13,5,0.07,-3.25,-3.46,170.8,26.1,21.7,29.7,51.4,609.44,665.53,-130.85,-88.39,272.98,272.8,718.99,739.12,8.21,8.97,287.96,934.5,293.6,11.46,5614,29.23,1
"744",1,"YBBN",94578,"131118/0000",-27.38,153.13,5,2.9,-0.99,-1.3,74.78,21.3,18.9,28.9,47.8,58.66,97.4,-99.42,-72.68,446.41,445.22,729.69,746.29,1.48,2.46,284.07,894.61,293.26,9.25,5575,22.41,1
"745",1,"YBBN",94578,"131120/0000",-27.38,153.13,5,5.87,1.24,0.79,74.8,-6.9,13.7,26.7,40.4,6.83,18.71,-293.95,-109.8,398.8,398.46,425.9,640.91,0.2,0.56,286.21,886.98,296.2,10.77,5663,22,0
"746",1,"YBBN",94578,"131123/0000",-27.38,153.13,5,0.96,-0.16,-0.64,199.59,32.4,21.3,24.7,46,17.6,50.73,-45.04,-30,348.49,345.35,737.44,820.07,0.72,2.09,288.02,896.62,297.15,12.01,5688,36.18,1
"747",1,"YBBN",94578,"131124/0000",-27.38,153.13,5,-0.2,-3.02,-3.72,207.82,28.7,21.3,26.3,47.6,985.96,1107.94,-110.54,-72.08,247.59,247.14,710.09,730.69,25.19,28.3,291.78,935.52,297.4,14.68,5711,38.21,1
"748",1,"YBBN",94578,"131125/0000",-27.38,153.13,5,11.5,1.27,0.72,77.99,5.1,5.3,24.3,29.6,58.26,131.69,-1.3,-0.6,381.82,373.84,876.67,880.6,0.66,1.48,288.01,888.11,297.96,12.12,5687,23.82,0
"749",1,"YBBN",94578,"131126/0000",-27.38,153.13,5,3.06,2.75,2.4,148.59,24.8,20.8,23.5,44.3,0.04,3.31,-138.82,-122.84,673.55,670.04,682.78,694.4,0,0.06,283.91,874.32,295.04,9.37,5639,26.21,0
"750",1,"YBBN",94578,"131130/0000",-27.38,153.13,5,2.6,2.45,2.48,322.49,32,21.4,21.7,43.1,0.77,2.53,-1.37,-0.71,825.44,823.89,928.07,936.41,0.02,0.06,289.41,968.4,292.1,12.17,5660,43.8,0
"751",1,"YBBN",94578,"131201/0000",-27.38,153.13,5,6.75,4.75,4.52,129.42,-20.7,18.9,21.1,40,14.32,22.31,-0.73,0,765.51,763.58,854.24,862.51,0.4,0.62,281.36,863.94,293.38,7.97,5604,19.79,0
"752",1,"YBBN",94578,"131203/0000",-27.38,153.13,5,13.79,8.2,7.93,54.8,-24.9,9.7,17.7,27.4,1.47,2.43,-4.02,-2.19,852.31,849.67,855.17,857.3,0.06,0.1,282.06,865.76,293.93,8.35,5657,15.6,0
"753",1,"YBBN",94578,"131208/0000",-27.38,153.13,5,9.25,7.36,7.14,138,-3.1,15.7,16.9,32.6,3.93,7.26,-0.27,0,843.59,842.37,878.84,885.43,0.11,0.2,284.68,888.2,294.5,9.72,5683,24.3,0
"754",1,"YBBN",94578,"131211/0000",-27.38,153.13,5,-1.14,-1.11,-1.21,206.59,32.7,20.9,28.9,49.8,89.65,111.26,-423.86,-368.02,427.25,422.33,642.53,650.2,3.72,4.62,289.02,900.38,297.83,12.83,5739,39.41,1
"755",1,"YBBN",94578,"131212/0000",-27.38,153.13,5,0.79,-0.53,-0.64,231.8,31.9,20.3,24.5,44.8,326.09,396.84,-89.3,-60.55,366.15,365.88,777.68,800.64,44.91,54.65,291.4,933.54,297.19,14.36,5698,42.52,0
"756",1,"YBBN",94578,"131213/0000",-27.38,153.13,5,0.48,-3.92,-4.38,110.98,30.6,21.5,27.5,49,586.16,731.03,-46.58,-16.54,306.06,305.01,780.62,830.78,261.3,325.88,288.82,904.25,297.26,12.55,5661,27.51,0
"757",1,"YBBN",94578,"131214/0000",-27.38,153.13,5,5.82,-1.21,-1.72,39.59,19.7,13.9,26.9,40.8,480.78,578.33,-143.36,-91.23,282,281.74,706.94,722.09,57.32,68.95,287.71,897.45,296.75,11.75,5662,27.77,1
"758",1,"YBBN",94578,"131215/0000",-27.38,153.13,5,2.6,-1.47,-2.02,115.38,24.7,18.5,26.5,45,553,667.07,-109.38,-7.81,259.33,258.99,712.44,867.77,21.66,26.12,288.59,902.57,297.18,12.39,5674,30.99,0
"759",1,"YBBN",94578,"131216/0000",-27.38,153.13,5,6.01,0.24,-0.16,66.98,23.7,15.3,25.3,40.6,51.77,74.52,-214.6,-111.84,375.79,373.29,492.11,664.35,2.36,3.39,286.36,890.38,296.03,10.84,5659,29.56,0
"760",1,"YBBN",94578,"131217/0000",-27.38,153.13,5,2.77,0.55,0.25,145.8,25.2,21.4,22.3,43.7,133.24,207.01,0,0,253.7,253.65,913.28,913.28,19.61,30.46,287.67,913.28,295.24,11.52,5634,34.48,0
"761",1,"YBBN",94578,"131218/0000",-27.38,153.13,5,9.01,6.22,5.88,120.82,-21.7,14.9,18.9,33.8,4.55,21.89,-12.86,-4.87,771.39,766.47,815.57,844.78,6.1,29.36,284.42,877.84,295.21,9.67,5665,20.2,0
"762",1,"YBBN",94578,"131219/0000",-27.38,153.13,5,9.7,7.43,7.08,124.4,-3.4,14.4,17.9,32.3,4.25,6.29,-11.14,-6.68,810.54,809.62,832.99,840.84,111.34,164.64,284.05,875.55,295.05,9.45,5679,21.14,0
"763",1,"YBBN",94578,"131225/0000",-27.38,153.13,5,8.35,5.4,4.79,165.8,-21.4,14.6,16.7,31.3,4.17,11.4,-12.24,-7.02,836.48,830.01,878.61,892.05,1.5,4.1,289.93,923.66,296.6,13.2,5729,25.31,0
"764",1,"YBBN",94578,"131227/0000",-27.38,153.13,5,2.84,0.47,-0.09,154.8,30.3,16.9,25.9,42.8,97.56,162.57,-129.34,-17.81,302.74,301.34,748.03,886.78,1.53,2.55,290.75,926.76,297.16,13.92,5717,40.15,0
"765",1,"YBBN",94578,"131228/0000",-27.38,153.13,5,1.06,1.25,0.7,207.2,26.2,20.6,23.1,43.7,69.95,101.82,-159.65,-127.83,571.88,561.63,683.16,696.44,1.91,2.77,289.75,914.13,297.3,13.19,5708,37.92,0
"766",1,"YBBN",94578,"131229/0000",-27.38,153.13,5,2.03,-2.29,-2.95,113.81,13.9,14.5,31.5,46,609.97,700.78,-464.39,-360.91,295.34,294.55,642.16,654.94,9.41,10.81,290.55,903.75,299.09,14.05,5759,32.69,1
"767",1,"YBBN",94578,"131231/0000",-27.38,153.13,5,-1.49,1.26,0.7,248.21,26.3,22.7,23.7,46.4,208.45,272.55,-229.13,-186.63,244.27,244.13,592.72,631.84,3.24,4.23,290.35,922.65,297.11,13.57,5732,40.3,0
"768",1,"YBBN",94578,"140103/0000",-27.38,153.13,5,4.33,0.78,0.43,127.79,30.7,12.3,28.3,40.6,75.27,124.97,-501.74,-418.49,373.84,372.11,659.39,667.37,3.26,5.42,290.8,892.51,300.42,14.47,5790,39.94,1
"769",1,"YBBN",94578,"140104/0000",-27.38,153.13,5,-0.28,-2.17,-2.99,189.8,25.1,16.7,31.7,48.4,150.03,211.12,-748.05,-632.82,299.58,298.02,608.47,620.64,3.96,5.57,290.82,868.57,302.79,14.94,5846,36.04,0
"770",1,"YBBN",94578,"140105/0000",-27.38,153.13,5,1.43,2.03,1.17,223.21,28.9,19.3,20.3,39.6,0.34,44.75,-309.62,-265.73,574.57,527.15,649.37,659.17,0.01,1.46,292.9,929.68,299.08,15.86,5796,43.24,0
"771",1,"YBBN",94578,"140106/0000",-27.38,153.13,5,1.7,-2.87,-3.43,188.42,32.1,16.9,26.9,43.8,779.21,910.51,-164.89,-122.76,217.65,217.19,694.66,721.61,61.64,72.03,294.3,934.84,300.04,17.24,5790,52.96,1
"772",1,"YBBN",94578,"140108/0000",-27.38,153.13,5,11.59,4.13,3.65,69.21,11.1,10.5,19.5,30,2.55,12.52,-2.03,0,848.87,833.34,858.04,885.04,0.2,0.96,286.45,885.04,296.63,10.97,5680,26.13,0
"773",1,"YBBN",94578,"140109/0000",-27.38,153.13,5,6.65,5.6,5.67,153.6,-3.1,17.9,19.1,37,15.76,20.83,-16.44,-12.39,748.78,747.93,845.8,853.61,1.08,1.43,284.91,888.25,294.73,9.87,5671,29.74,0
