Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140513/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,2.24
Liftedindex,2.60
LIFTcomputedusingvirtualtemperature,2.34
SWEATindex,136.02
Kindex,22.40
Crosstotalsindex,23.00
Verticaltotalsindex,24.90
Totalstotalsindex,47.90
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,283.21
Pres[hPa]oftheLiftedCondensationLevel,910.97
Meanmixedlayerpotentialtemperature,290.87
Meanmixedlayermixingratio,8.57
1000hPato500hPathickness,5566.00
Precipitablewater[mm]forentiresounding,20.18
