Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120411/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.46
Liftedindex,7.70
LIFTcomputedusingvirtualtemperature,7.48
SWEATindex,259.47
Kindex,-15.10
Crosstotalsindex,19.30
Verticaltotalsindex,20.50
Totalstotalsindex,39.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,281.61
Pres[hPa]oftheLiftedCondensationLevel,896.97
Meanmixedlayerpotentialtemperature,290.50
Meanmixedlayermixingratio,7.81
1000hPato500hPathickness,5599.00
Precipitablewater[mm]forentiresounding,20.69
