Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110930/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,10.76
Liftedindex,9.27
LIFTcomputedusingvirtualtemperature,9.14
SWEATindex,137.00
Kindex,-10.90
Crosstotalsindex,3.90
Verticaltotalsindex,26.90
Totalstotalsindex,30.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,270.03
Pres[hPa]oftheLiftedCondensationLevel,757.10
Meanmixedlayerpotentialtemperature,292.39
Meanmixedlayermixingratio,4.04
1000hPato500hPathickness,5584.00
Precipitablewater[mm]forentiresounding,7.83
