Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120508/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,12.44
Liftedindex,8.70
LIFTcomputedusingvirtualtemperature,8.55
SWEATindex,53.01
Kindex,2.50
Crosstotalsindex,-0.70
Verticaltotalsindex,26.30
Totalstotalsindex,25.60
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,277.20
Pres[hPa]oftheLiftedCondensationLevel,839.25
Meanmixedlayerpotentialtemperature,291.45
Meanmixedlayermixingratio,6.22
1000hPato500hPathickness,5606.00
Precipitablewater[mm]forentiresounding,14.11
