Stationidentifier,YBBN
Stationnumber,94578
Observationtime,141024/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.58
Liftedindex,4.57
LIFTcomputedusingvirtualtemperature,4.33
SWEATindex,60.40
Kindex,16.50
Crosstotalsindex,13.30
Verticaltotalsindex,26.30
Totalstotalsindex,39.60
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,283.86
Pres[hPa]oftheLiftedCondensationLevel,892.39
Meanmixedlayerpotentialtemperature,293.26
Meanmixedlayermixingratio,9.15
1000hPato500hPathickness,5625.00
Precipitablewater[mm]forentiresounding,23.76
