Stationidentifier,YBBN
Stationnumber,94578
Observationtime,161012/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.34
Liftedindex,6.41
LIFTcomputedusingvirtualtemperature,6.19
SWEATindex,118.78
Kindex,1.80
Crosstotalsindex,18.60
Verticaltotalsindex,19.90
Totalstotalsindex,38.50
ConvectiveAvailablePotentialEnergy,11.31
CAPEusingvirtualtemperature,15.21
ConvectiveInhibition,-4.77
CINSusingvirtualtemperature,-2.75
EquilibrumLevel,769.07
EquilibrumLevelusingvirtualtemperature,763.64
LevelofFreeConvection,828.48
LFCTusingvirtualtemperature,845.11
BulkRichardsonNumber,0.14
BulkRichardsonNumberusingCAPV,0.19
Temp[K]oftheLiftedCondensationLevel,281.91
Pres[hPa]oftheLiftedCondensationLevel,883.72
Meanmixedlayerpotentialtemperature,292.05
Meanmixedlayermixingratio,8.09
1000hPato500hPathickness,5591.00
Precipitablewater[mm]forentiresounding,20.43
