Stationidentifier,YBBN
Stationnumber,94578
Observationtime,131008/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,8.14
Liftedindex,1.03
LIFTcomputedusingvirtualtemperature,0.63
Kindex,0.90
Crosstotalsindex,15.30
Verticaltotalsindex,22.30
Totalstotalsindex,37.60
ConvectiveAvailablePotentialEnergy,117.53
CAPEusingvirtualtemperature,190.14
ConvectiveInhibition,-0.01
CINSusingvirtualtemperature,0.00
EquilibrumLevel,537.14
EquilibrumLevelusingvirtualtemperature,534.29
LevelofFreeConvection,899.38
LFCTusingvirtualtemperature,902.47
Temp[K]oftheLiftedCondensationLevel,286.15
Pres[hPa]oftheLiftedCondensationLevel,902.47
Meanmixedlayerpotentialtemperature,294.68
Meanmixedlayermixingratio,10.55
1000hPato500hPathickness,5608.00
Precipitablewater[mm]forentiresounding,20.20
