Stationidentifier,YBBN
Stationnumber,94578
Observationtime,121015/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.50
Liftedindex,4.14
LIFTcomputedusingvirtualtemperature,3.93
SWEATindex,62.39
Kindex,2.50
Crosstotalsindex,17.90
Verticaltotalsindex,22.30
Totalstotalsindex,40.20
ConvectiveAvailablePotentialEnergy,4.69
CAPEusingvirtualtemperature,16.25
ConvectiveInhibition,-21.14
CINSusingvirtualtemperature,-10.38
EquilibrumLevel,763.32
EquilibrumLevelusingvirtualtemperature,751.12
LevelofFreeConvection,850.02
LFCTusingvirtualtemperature,881.21
BulkRichardsonNumber,0.20
BulkRichardsonNumberusingCAPV,0.69
Temp[K]oftheLiftedCondensationLevel,282.32
Pres[hPa]oftheLiftedCondensationLevel,901.96
Meanmixedlayerpotentialtemperature,290.78
Meanmixedlayermixingratio,8.16
1000hPato500hPathickness,5552.00
Precipitablewater[mm]forentiresounding,16.73
