Stationidentifier,YBBN
Stationnumber,94578
Observationtime,151023/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.73
Liftedindex,2.58
LIFTcomputedusingvirtualtemperature,2.16
SWEATindex,125.18
Kindex,23.00
Crosstotalsindex,17.80
Verticaltotalsindex,21.90
Totalstotalsindex,39.70
ConvectiveAvailablePotentialEnergy,13.07
CAPEusingvirtualtemperature,25.38
ConvectiveInhibition,-81.71
CINSusingvirtualtemperature,-26.85
EquilibrumLevel,691.31
EquilibrumLevelusingvirtualtemperature,684.93
LevelofFreeConvection,741.28
LFCTusingvirtualtemperature,852.24
BulkRichardsonNumber,0.19
BulkRichardsonNumberusingCAPV,0.36
Temp[K]oftheLiftedCondensationLevel,286.71
Pres[hPa]oftheLiftedCondensationLevel,908.71
Meanmixedlayerpotentialtemperature,294.67
Meanmixedlayermixingratio,10.87
1000hPato500hPathickness,5653.00
Precipitablewater[mm]forentiresounding,23.49
