Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100116/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.76
Liftedindex,2.61
LIFTcomputedusingvirtualtemperature,2.34
SWEATindex,184.40
Kindex,24.30
Crosstotalsindex,19.10
Verticaltotalsindex,21.10
Totalstotalsindex,40.20
ConvectiveAvailablePotentialEnergy,0.22
CAPEusingvirtualtemperature,0.91
ConvectiveInhibition,-23.13
CINSusingvirtualtemperature,-18.01
EquilibrumLevel,824.51
EquilibrumLevelusingvirtualtemperature,374.10
LevelofFreeConvection,835.62
LFCTusingvirtualtemperature,839.74
BulkRichardsonNumber,0.04
BulkRichardsonNumberusingCAPV,0.15
Temp[K]oftheLiftedCondensationLevel,287.05
Pres[hPa]oftheLiftedCondensationLevel,877.08
Meanmixedlayerpotentialtemperature,298.03
Meanmixedlayermixingratio,11.53
1000hPato500hPathickness,5728.00
Precipitablewater[mm]forentiresounding,33.82
