Stationidentifier,YBBN
Stationnumber,94578
Observationtime,111006/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.95
Liftedindex,3.08
LIFTcomputedusingvirtualtemperature,2.81
SWEATindex,90.59
Kindex,25.00
Crosstotalsindex,18.50
Verticaltotalsindex,21.90
Totalstotalsindex,40.40
ConvectiveAvailablePotentialEnergy,61.53
CAPEusingvirtualtemperature,77.15
ConvectiveInhibition,-12.23
CINSusingvirtualtemperature,-9.31
EquilibrumLevel,740.61
EquilibrumLevelusingvirtualtemperature,740.21
LevelofFreeConvection,895.72
LFCTusingvirtualtemperature,911.51
BulkRichardsonNumber,2.31
BulkRichardsonNumberusingCAPV,2.89
Temp[K]oftheLiftedCondensationLevel,286.07
Pres[hPa]oftheLiftedCondensationLevel,957.03
Meanmixedlayerpotentialtemperature,289.71
Meanmixedlayermixingratio,9.89
1000hPato500hPathickness,5559.00
Precipitablewater[mm]forentiresounding,28.88
