Stationidentifier,YBBN
Stationnumber,94578
Observationtime,151009/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.35
Liftedindex,2.30
LIFTcomputedusingvirtualtemperature,1.96
SWEATindex,141.61
Kindex,14.90
Crosstotalsindex,21.70
Verticaltotalsindex,22.10
Totalstotalsindex,43.80
ConvectiveAvailablePotentialEnergy,44.42
CAPEusingvirtualtemperature,56.97
ConvectiveInhibition,-3.52
CINSusingvirtualtemperature,-2.46
EquilibrumLevel,753.47
EquilibrumLevelusingvirtualtemperature,748.21
LevelofFreeConvection,938.08
LFCTusingvirtualtemperature,942.91
BulkRichardsonNumber,15.96
BulkRichardsonNumberusingCAPV,20.47
Temp[K]oftheLiftedCondensationLevel,287.94
Pres[hPa]oftheLiftedCondensationLevel,964.94
Meanmixedlayerpotentialtemperature,290.90
Meanmixedlayermixingratio,11.09
1000hPato500hPathickness,5601.00
Precipitablewater[mm]forentiresounding,27.86
