Stationidentifier,YBBN
Stationnumber,94578
Observationtime,161031/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.31
Liftedindex,4.22
LIFTcomputedusingvirtualtemperature,3.82
SWEATindex,173.00
Kindex,30.50
Crosstotalsindex,16.50
Verticaltotalsindex,24.50
Totalstotalsindex,41.00
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,287.26
Pres[hPa]oftheLiftedCondensationLevel,913.37
Meanmixedlayerpotentialtemperature,294.81
Meanmixedlayermixingratio,11.21
1000hPato500hPathickness,5681.00
Precipitablewater[mm]forentiresounding,38.04
