Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160628/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.94
Liftedindex,10.89
LIFTcomputedusingvirtualtemperature,10.83
SWEATindex,216.76
Kindex,-5.70
Crosstotalsindex,19.30
Verticaltotalsindex,26.30
Totalstotalsindex,45.60
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,271.51
Pres[hPa]oftheLiftedCondensationLevel,866.84
Meanmixedlayerpotentialtemperature,282.84
Meanmixedlayermixingratio,3.94
1000hPato500hPathickness,5474.00
Precipitablewater[mm]forentiresounding,9.94
