Stationidentifier,YBBN
Stationnumber,94578
Observationtime,111011/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.16
Liftedindex,-0.14
LIFTcomputedusingvirtualtemperature,-0.43
SWEATindex,70.40
Kindex,22.90
Crosstotalsindex,16.70
Verticaltotalsindex,26.70
Totalstotalsindex,43.40
ConvectiveAvailablePotentialEnergy,98.39
CAPEusingvirtualtemperature,152.41
ConvectiveInhibition,-98.09
CINSusingvirtualtemperature,-70.47
EquilibrumLevel,472.59
EquilibrumLevelusingvirtualtemperature,465.98
LevelofFreeConvection,812.73
LFCTusingvirtualtemperature,826.39
BulkRichardsonNumber,2.19
BulkRichardsonNumberusingCAPV,3.39
Temp[K]oftheLiftedCondensationLevel,284.77
Pres[hPa]oftheLiftedCondensationLevel,894.19
Meanmixedlayerpotentialtemperature,294.02
Meanmixedlayermixingratio,9.77
1000hPato500hPathickness,5589.00
Precipitablewater[mm]forentiresounding,20.28
