Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160125/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,1.74
Liftedindex,-1.91
LIFTcomputedusingvirtualtemperature,-2.51
SWEATindex,154.80
Kindex,33.00
Crosstotalsindex,19.10
Verticaltotalsindex,26.10
Totalstotalsindex,45.20
ConvectiveAvailablePotentialEnergy,345.22
CAPEusingvirtualtemperature,434.62
ConvectiveInhibition,-91.86
CINSusingvirtualtemperature,-51.44
EquilibrumLevel,303.96
EquilibrumLevelusingvirtualtemperature,302.80
LevelofFreeConvection,729.08
LFCTusingvirtualtemperature,746.16
BulkRichardsonNumber,26.16
BulkRichardsonNumberusingCAPV,32.94
Temp[K]oftheLiftedCondensationLevel,290.48
Pres[hPa]oftheLiftedCondensationLevel,917.34
Meanmixedlayerpotentialtemperature,297.75
Meanmixedlayermixingratio,13.79
1000hPato500hPathickness,5712.00
Precipitablewater[mm]forentiresounding,39.80
