Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130211/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.11
Liftedindex,4.65
LIFTcomputedusingvirtualtemperature,4.24
SWEATindex,161.01
Kindex,-19.00
Crosstotalsindex,16.40
Verticaltotalsindex,19.50
Totalstotalsindex,35.90
ConvectiveAvailablePotentialEnergy,0.04
CAPEusingvirtualtemperature,2.63
ConvectiveInhibition,-15.24
CINSusingvirtualtemperature,-6.36
EquilibrumLevel,808.74
EquilibrumLevelusingvirtualtemperature,799.71
LevelofFreeConvection,817.70
LFCTusingvirtualtemperature,852.46
BulkRichardsonNumber,0.01
BulkRichardsonNumberusingCAPV,0.70
Temp[K]oftheLiftedCondensationLevel,285.42
Pres[hPa]oftheLiftedCondensationLevel,869.69
Meanmixedlayerpotentialtemperature,297.05
Meanmixedlayermixingratio,10.43
1000hPato500hPathickness,5706.00
Precipitablewater[mm]forentiresounding,23.72
