Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120311/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.88
Liftedindex,2.31
LIFTcomputedusingvirtualtemperature,1.84
SWEATindex,159.61
Kindex,27.40
Crosstotalsindex,19.60
Verticaltotalsindex,21.30
Totalstotalsindex,40.90
ConvectiveAvailablePotentialEnergy,14.07
CAPEusingvirtualtemperature,21.80
ConvectiveInhibition,-30.93
CINSusingvirtualtemperature,-16.53
EquilibrumLevel,696.80
EquilibrumLevelusingvirtualtemperature,693.92
LevelofFreeConvection,752.49
LFCTusingvirtualtemperature,860.90
BulkRichardsonNumber,5.19
BulkRichardsonNumberusingCAPV,8.05
Temp[K]oftheLiftedCondensationLevel,287.99
Pres[hPa]oftheLiftedCondensationLevel,914.53
Meanmixedlayerpotentialtemperature,295.46
Meanmixedlayermixingratio,11.77
1000hPato500hPathickness,5675.00
Precipitablewater[mm]forentiresounding,31.68
