Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110803/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,8.14
Liftedindex,3.47
LIFTcomputedusingvirtualtemperature,3.30
SWEATindex,45.01
Kindex,-15.90
Crosstotalsindex,15.10
Verticaltotalsindex,25.10
Totalstotalsindex,40.20
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.36
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,-48.30
EquilibrumLevelusingvirtualtemperature,801.68
LFCTusingvirtualtemperature,814.93
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.07
Temp[K]oftheLiftedCondensationLevel,281.46
Pres[hPa]oftheLiftedCondensationLevel,919.98
Meanmixedlayerpotentialtemperature,288.27
Meanmixedlayermixingratio,7.54
1000hPato500hPathickness,5520.00
Precipitablewater[mm]forentiresounding,13.99
