Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140724/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,9.78
Liftedindex,7.15
LIFTcomputedusingvirtualtemperature,7.16
SWEATindex,89.78
Kindex,-14.10
Crosstotalsindex,15.50
Verticaltotalsindex,20.50
Totalstotalsindex,36.00
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.44
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,-27.28
EquilibrumLevelusingvirtualtemperature,785.33
LFCTusingvirtualtemperature,806.78
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.01
Temp[K]oftheLiftedCondensationLevel,282.44
Pres[hPa]oftheLiftedCondensationLevel,923.25
Meanmixedlayerpotentialtemperature,288.98
Meanmixedlayermixingratio,8.03
1000hPato500hPathickness,5546.00
Precipitablewater[mm]forentiresounding,19.92
