Stationidentifier,YBBN
Stationnumber,94578
Observationtime,150507/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,17.24
Liftedindex,14.57
LIFTcomputedusingvirtualtemperature,14.45
SWEATindex,52.00
Kindex,-29.50
Crosstotalsindex,1.10
Verticaltotalsindex,18.10
Totalstotalsindex,19.20
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,279.71
Pres[hPa]oftheLiftedCondensationLevel,854.66
Meanmixedlayerpotentialtemperature,292.56
Meanmixedlayermixingratio,7.43
1000hPato500hPathickness,5704.00
Precipitablewater[mm]forentiresounding,14.57
