Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110807/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,8.51
Liftedindex,4.15
LIFTcomputedusingvirtualtemperature,3.93
SWEATindex,41.98
Kindex,19.80
Crosstotalsindex,12.50
Verticaltotalsindex,25.50
Totalstotalsindex,38.00
ConvectiveAvailablePotentialEnergy,42.85
CAPEusingvirtualtemperature,53.09
ConvectiveInhibition,-129.39
CINSusingvirtualtemperature,-98.41
EquilibrumLevel,690.32
EquilibrumLevelusingvirtualtemperature,689.10
LevelofFreeConvection,766.86
LFCTusingvirtualtemperature,776.53
BulkRichardsonNumber,117.16
BulkRichardsonNumberusingCAPV,145.15
Temp[K]oftheLiftedCondensationLevel,281.53
Pres[hPa]oftheLiftedCondensationLevel,893.40
Meanmixedlayerpotentialtemperature,290.75
Meanmixedlayermixingratio,7.80
1000hPato500hPathickness,5543.00
Precipitablewater[mm]forentiresounding,15.98
