Stationidentifier,YBBN
Stationnumber,94578
Observationtime,161123/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.00
Liftedindex,2.30
LIFTcomputedusingvirtualtemperature,1.78
SWEATindex,108.41
Kindex,26.20
Crosstotalsindex,15.10
Verticaltotalsindex,23.10
Totalstotalsindex,38.20
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,-93.09
EquilibrumLevelusingvirtualtemperature,721.72
LFCTusingvirtualtemperature,726.95
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,288.64
Pres[hPa]oftheLiftedCondensationLevel,909.22
Meanmixedlayerpotentialtemperature,296.61
Meanmixedlayermixingratio,12.33
1000hPato500hPathickness,5709.00
Precipitablewater[mm]forentiresounding,30.98
