Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130209/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.62
Liftedindex,1.02
LIFTcomputedusingvirtualtemperature,0.49
SWEATindex,145.61
Kindex,23.30
Crosstotalsindex,18.10
Verticaltotalsindex,21.50
Totalstotalsindex,39.60
ConvectiveAvailablePotentialEnergy,4.52
CAPEusingvirtualtemperature,25.86
ConvectiveInhibition,-3.15
CINSusingvirtualtemperature,-0.12
EquilibrumLevel,820.75
EquilibrumLevelusingvirtualtemperature,589.78
LevelofFreeConvection,873.40
LFCTusingvirtualtemperature,900.97
BulkRichardsonNumber,0.30
BulkRichardsonNumberusingCAPV,1.72
Temp[K]oftheLiftedCondensationLevel,289.24
Pres[hPa]oftheLiftedCondensationLevel,910.35
Meanmixedlayerpotentialtemperature,297.12
Meanmixedlayermixingratio,12.82
1000hPato500hPathickness,5701.00
Precipitablewater[mm]forentiresounding,36.66
