Stationidentifier,YBBN
Stationnumber,94578
Observationtime,151231/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,10.79
Liftedindex,9.92
LIFTcomputedusingvirtualtemperature,9.62
SWEATindex,168.79
Kindex,-18.30
Crosstotalsindex,13.30
Verticaltotalsindex,16.30
Totalstotalsindex,29.60
ConvectiveAvailablePotentialEnergy,0.01
CAPEusingvirtualtemperature,0.54
ConvectiveInhibition,-9.98
CINSusingvirtualtemperature,-6.64
EquilibrumLevel,813.94
EquilibrumLevelusingvirtualtemperature,800.87
LevelofFreeConvection,814.00
LFCTusingvirtualtemperature,817.72
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.08
Temp[K]oftheLiftedCondensationLevel,281.69
Pres[hPa]oftheLiftedCondensationLevel,836.33
Meanmixedlayerpotentialtemperature,296.46
Meanmixedlayermixingratio,8.43
1000hPato500hPathickness,5721.00
Precipitablewater[mm]forentiresounding,20.25
