Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120801/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.19
Liftedindex,4.23
LIFTcomputedusingvirtualtemperature,4.11
SWEATindex,69.00
Kindex,-16.90
Crosstotalsindex,18.70
Verticaltotalsindex,26.70
Totalstotalsindex,45.40
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,277.04
Pres[hPa]oftheLiftedCondensationLevel,895.55
Meanmixedlayerpotentialtemperature,285.93
Meanmixedlayermixingratio,5.69
1000hPato500hPathickness,5444.00
Precipitablewater[mm]forentiresounding,10.59
