Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160723/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,9.59
Liftedindex,4.04
LIFTcomputedusingvirtualtemperature,3.64
SWEATindex,208.02
Kindex,-11.30
Crosstotalsindex,11.70
Verticaltotalsindex,20.70
Totalstotalsindex,32.40
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.90
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,-43.21
EquilibrumLevelusingvirtualtemperature,811.23
LFCTusingvirtualtemperature,827.93
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.01
Temp[K]oftheLiftedCondensationLevel,287.99
Pres[hPa]oftheLiftedCondensationLevel,901.77
Meanmixedlayerpotentialtemperature,296.64
Meanmixedlayermixingratio,11.92
1000hPato500hPathickness,5746.00
Precipitablewater[mm]forentiresounding,23.21
