PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1018.0,5,27.2,19.2,62,13.95,125,7,298.8,339.7,301.3
1013.0,48,25.2,18.2,65,13.15,121,8,297.2,335.5,299.6
1000.0,159,24.2,19.2,74,14.21,110,9,297.4,338.7,299.9
925.0,835,18.4,14.5,78,11.34,95,8,298.1,331.3,300.1
903.0,1041,16.6,14.4,87,11.55,94,7,298.3,332.1,300.4
850.0,1555,13.4,10.6,83,9.53,90,5,300.2,328.4,301.9
798.0,2085,10.6,4.6,66,6.71,124,6,302.6,323.0,303.9
789.0,2180,11.0,-4.0,35,3.62,130,6,304.1,315.4,304.7
739.0,2723,9.0,-15.0,17,1.62,166,6,307.6,313.0,307.9
721.0,2928,9.8,-26.2,6,0.63,179,7,310.7,312.9,310.8
700.0,3172,8.2,-27.8,6,0.56,195,7,311.5,313.6,311.6
621.0,4151,2.8,-38.2,3,0.23,154,8,316.2,317.1,316.2
565.0,4913,1.0,-48.0,1,0.09,122,8,322.7,323.1,322.7
552.0,5101,2.0,-47.0,1,0.10,114,8,326.1,326.5,326.1
500.0,5890,-4.1,-53.1,1,0.06,80,9,328.0,328.2,328.0
400.0,7600,-16.9,-58.9,1,0.03,85,13,332.9,333.1,332.9
300.0,9680,-34.3,-63.3,4,0.03,65,10,336.9,337.0,336.9
255.0,10797,-44.1,-65.1,8,0.02,105,13,338.4,338.6,338.4
250.0,10930,-45.1,-67.1,7,0.02,110,13,338.9,339.0,338.9
200.0,12380,-56.1,-73.1,10,0.01,210,14,343.8,343.8,343.8
185.0,12872,-59.9,-73.9,14,0.01,222,16,345.4,345.4,345.4
150.0,14170,-64.3,,,,255,20,359.1,,359.1
115.0,15777,-68.9,,,,255,25,378.9,,378.9
100.0,16600,-75.1,,,,255,27,382.4,,382.4
95.0,16895,-75.4,,,,250,21,387.4,,387.4
88.0,17336,-75.9,,,,220,19,394.9,,394.9
82.0,17742,-76.4,,,,245,15,402.0,,402.0
80.8,17827,-76.5,,,,238,15,403.5,,403.5
70.0,18660,-71.9,,,,170,11,430.2,,430.2
68.0,18833,-71.3,,,,150,10,435.0,,435.0
65.0,19103,-70.5,,,,130,5,442.5,,442.5
53.0,20322,-66.6,,,,75,20,478.1,,478.1
50.0,20670,-65.5,,,,55,17,488.7,,488.7
46.0,21180,-63.7,,,,45,16,504.8,,504.8
43.0,21593,-62.3,,,,85,9,518.2,,518.2
42.0,21737,-61.8,,,,95,11,523.0,,523.0
41.9,21751,-61.7,,,,95,11,523.4,,523.4
38.5,22273,-62.3,,,,92,15,534.7,,534.7
37.0,22521,-61.3,,,,90,17,543.3,,543.3
35.0,22868,-60.0,,,,110,19,555.5,,555.5
30.0,23830,-56.3,,,,90,37,590.6,,590.6
28.0,24276,-54.5,,,,80,32,607.2,,607.2
27.0,24511,-53.6,,,,90,27,616.1,,616.1
26.0,24754,-52.7,,,,75,35,625.5,,625.5
22.6,25659,-49.1,,,,80,33,661.6,,661.6
20.0,26460,-50.1,,,,85,31,682.1,,682.1
18.0,27151,-48.7,,,,85,29,707.2,,707.2
17.4,27373,-48.3,,,,,,715.5,,715.5
