Stationidentifier,YBBN
Stationnumber,94578
Observationtime,101104/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.56
Liftedindex,-0.36
LIFTcomputedusingvirtualtemperature,-0.49
SWEATindex,159.80
Kindex,30.40
Crosstotalsindex,21.00
Verticaltotalsindex,22.90
Totalstotalsindex,43.90
ConvectiveAvailablePotentialEnergy,306.61
CAPEusingvirtualtemperature,354.00
ConvectiveInhibition,-1.45
CINSusingvirtualtemperature,-0.97
EquilibrumLevel,472.64
EquilibrumLevelusingvirtualtemperature,471.78
LevelofFreeConvection,941.62
LFCTusingvirtualtemperature,944.58
BulkRichardsonNumber,45.61
BulkRichardsonNumberusingCAPV,52.66
Temp[K]oftheLiftedCondensationLevel,289.14
Pres[hPa]oftheLiftedCondensationLevel,958.38
Meanmixedlayerpotentialtemperature,292.69
Meanmixedlayermixingratio,12.07
1000hPato500hPathickness,5594.00
Precipitablewater[mm]forentiresounding,37.77
