Stationidentifier,YBBN
Stationnumber,94578
Observationtime,111124/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,1.89
Liftedindex,3.02
LIFTcomputedusingvirtualtemperature,3.03
SWEATindex,210.82
Kindex,25.10
Crosstotalsindex,20.10
Verticaltotalsindex,21.70
Totalstotalsindex,41.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,-137.23
EquilibrumLevelusingvirtualtemperature,725.62
LFCTusingvirtualtemperature,731.77
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,291.50
Pres[hPa]oftheLiftedCondensationLevel,972.62
Meanmixedlayerpotentialtemperature,293.83
Meanmixedlayermixingratio,13.85
1000hPato500hPathickness,5721.00
Precipitablewater[mm]forentiresounding,51.16
