Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120930/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,11.03
Liftedindex,5.60
LIFTcomputedusingvirtualtemperature,5.74
SWEATindex,55.98
Kindex,20.30
Crosstotalsindex,10.70
Verticaltotalsindex,21.70
Totalstotalsindex,32.40
ConvectiveAvailablePotentialEnergy,0.30
CAPEusingvirtualtemperature,1.17
ConvectiveInhibition,-142.92
CINSusingvirtualtemperature,-129.79
EquilibrumLevel,657.58
EquilibrumLevelusingvirtualtemperature,656.01
LevelofFreeConvection,663.30
LFCTusingvirtualtemperature,665.67
BulkRichardsonNumber,0.01
BulkRichardsonNumberusingCAPV,0.03
Temp[K]oftheLiftedCondensationLevel,284.36
Pres[hPa]oftheLiftedCondensationLevel,909.08
Meanmixedlayerpotentialtemperature,292.23
Meanmixedlayermixingratio,9.33
1000hPato500hPathickness,5616.00
Precipitablewater[mm]forentiresounding,33.24
