Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120325/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.85
Liftedindex,5.76
LIFTcomputedusingvirtualtemperature,5.35
SWEATindex,152.19
Kindex,-1.10
Crosstotalsindex,16.30
Verticaltotalsindex,18.30
Totalstotalsindex,34.60
ConvectiveAvailablePotentialEnergy,11.11
CAPEusingvirtualtemperature,19.34
ConvectiveInhibition,-5.21
CINSusingvirtualtemperature,-1.56
EquilibrumLevel,767.97
EquilibrumLevelusingvirtualtemperature,766.97
LevelofFreeConvection,867.34
LFCTusingvirtualtemperature,890.50
BulkRichardsonNumber,0.21
BulkRichardsonNumberusingCAPV,0.36
Temp[K]oftheLiftedCondensationLevel,286.00
Pres[hPa]oftheLiftedCondensationLevel,895.14
Meanmixedlayerpotentialtemperature,295.20
Meanmixedlayermixingratio,10.52
1000hPato500hPathickness,5687.00
Precipitablewater[mm]forentiresounding,25.18
