Stationidentifier,YBBN
Stationnumber,94578
Observationtime,131129/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.65
Liftedindex,5.15
LIFTcomputedusingvirtualtemperature,4.75
SWEATindex,143.82
Kindex,25.10
Crosstotalsindex,12.70
Verticaltotalsindex,24.70
Totalstotalsindex,37.40
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,284.91
Pres[hPa]oftheLiftedCondensationLevel,857.33
Meanmixedlayerpotentialtemperature,297.73
Meanmixedlayermixingratio,10.24
1000hPato500hPathickness,5734.00
Precipitablewater[mm]forentiresounding,26.29
