Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100417/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.98
Liftedindex,-1.41
LIFTcomputedusingvirtualtemperature,-1.81
SWEATindex,97.62
Kindex,23.10
Crosstotalsindex,19.30
Verticaltotalsindex,25.30
Totalstotalsindex,44.60
ConvectiveAvailablePotentialEnergy,277.14
CAPEusingvirtualtemperature,393.16
ConvectiveInhibition,-10.54
CINSusingvirtualtemperature,-5.26
EquilibrumLevel,380.58
EquilibrumLevelusingvirtualtemperature,378.45
LevelofFreeConvection,862.75
LFCTusingvirtualtemperature,885.31
BulkRichardsonNumber,14.59
BulkRichardsonNumberusingCAPV,20.70
Temp[K]oftheLiftedCondensationLevel,287.18
Pres[hPa]oftheLiftedCondensationLevel,916.86
Meanmixedlayerpotentialtemperature,294.40
Meanmixedlayermixingratio,11.11
1000hPato500hPathickness,5612.00
Precipitablewater[mm]forentiresounding,27.13
