Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120107/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.99
Liftedindex,3.09
LIFTcomputedusingvirtualtemperature,2.51
SWEATindex,179.38
Kindex,14.30
Crosstotalsindex,18.70
Verticaltotalsindex,20.10
Totalstotalsindex,38.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,289.98
Pres[hPa]oftheLiftedCondensationLevel,932.45
Meanmixedlayerpotentialtemperature,295.85
Meanmixedlayermixingratio,13.11
1000hPato500hPathickness,5708.00
Precipitablewater[mm]forentiresounding,31.95
