Stationidentifier,YBBN
Stationnumber,94578
Observationtime,141021/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,2.70
Liftedindex,3.69
LIFTcomputedusingvirtualtemperature,3.42
SWEATindex,159.20
Kindex,15.40
Crosstotalsindex,22.40
Verticaltotalsindex,23.30
Totalstotalsindex,45.70
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,282.83
Pres[hPa]oftheLiftedCondensationLevel,888.11
Meanmixedlayerpotentialtemperature,292.59
Meanmixedlayermixingratio,8.57
1000hPato500hPathickness,5611.00
Precipitablewater[mm]forentiresounding,23.49
