Stationidentifier,YBBN
Stationnumber,94578
Observationtime,161017/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,10.30
Liftedindex,6.81
LIFTcomputedusingvirtualtemperature,6.49
SWEATindex,114.60
Kindex,-25.50
Crosstotalsindex,12.70
Verticaltotalsindex,19.70
Totalstotalsindex,32.40
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,1.77
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,-29.94
EquilibrumLevelusingvirtualtemperature,807.29
LFCTusingvirtualtemperature,829.21
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.08
Temp[K]oftheLiftedCondensationLevel,283.56
Pres[hPa]oftheLiftedCondensationLevel,873.05
Meanmixedlayerpotentialtemperature,294.79
Meanmixedlayermixingratio,9.17
1000hPato500hPathickness,5658.00
Precipitablewater[mm]forentiresounding,16.93
