Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100110/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,8.59
Liftedindex,1.70
LIFTcomputedusingvirtualtemperature,1.24
SWEATindex,86.21
Kindex,-0.50
Crosstotalsindex,11.90
Verticaltotalsindex,22.90
Totalstotalsindex,34.80
ConvectiveAvailablePotentialEnergy,2.99
CAPEusingvirtualtemperature,7.97
ConvectiveInhibition,-545.66
CINSusingvirtualtemperature,-362.21
EquilibrumLevel,395.57
EquilibrumLevelusingvirtualtemperature,394.13
LevelofFreeConvection,424.26
LFCTusingvirtualtemperature,437.34
BulkRichardsonNumber,0.20
BulkRichardsonNumberusingCAPV,0.54
Temp[K]oftheLiftedCondensationLevel,287.93
Pres[hPa]oftheLiftedCondensationLevel,889.76
Meanmixedlayerpotentialtemperature,297.72
Meanmixedlayermixingratio,12.05
1000hPato500hPathickness,5726.00
Precipitablewater[mm]forentiresounding,22.46
