Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130918/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,8.99
Liftedindex,6.66
LIFTcomputedusingvirtualtemperature,6.44
SWEATindex,106.99
Kindex,-11.90
Crosstotalsindex,12.10
Verticaltotalsindex,24.10
Totalstotalsindex,36.20
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,277.78
Pres[hPa]oftheLiftedCondensationLevel,812.03
Meanmixedlayerpotentialtemperature,294.82
Meanmixedlayermixingratio,6.61
1000hPato500hPathickness,5630.00
Precipitablewater[mm]forentiresounding,12.12
