Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120803/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,13.44
Liftedindex,11.80
LIFTcomputedusingvirtualtemperature,11.92
SWEATindex,83.99
Kindex,-40.90
Crosstotalsindex,-2.10
Verticaltotalsindex,24.90
Totalstotalsindex,22.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,268.48
Pres[hPa]oftheLiftedCondensationLevel,797.38
Meanmixedlayerpotentialtemperature,286.44
Meanmixedlayermixingratio,3.48
1000hPato500hPathickness,5512.00
Precipitablewater[mm]forentiresounding,7.46
